,names,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,cluster_vals
2723,@AlexBron16,0,0,1,0,1,1,0,0,0,0,3
2724,@tilted_assholes,0,2,0,0,1,0,0,0,0,0,0
2725,@Liwen2012,0,1,0,0,0,0,0,1,0,0,5
2726,@PionerkaRu,1,0,0,1,0,1,0,0,0,0,6
2727,@krdoffline,0,3,0,0,0,0,0,0,0,0,0
2728,@skymurz,1,0,2,0,0,0,0,0,0,0,3
2729,@MikailMikailov,2,0,0,0,0,0,1,0,0,0,2
2730,@jannaramazanov1,0,1,1,0,0,0,0,0,1,0,0
2731,@HelloChinaMe,2,1,0,0,0,0,0,0,0,0,2
2732,@zolotukhina22,1,0,0,1,0,0,0,0,0,0,6
2733,@reddogfoto,0,0,0,0,0,0,0,3,0,0,5
2735,@Kristin22455172,0,3,0,0,0,0,0,0,0,0,0
2736,@ViSt42676877,2,1,0,0,0,0,0,0,0,0,2
2737,@PFFyodor,0,0,0,1,2,0,0,0,0,0,1
2738,@lavva_lamp,0,1,0,0,0,0,0,0,0,0,0
2740,@zrPx6k6l0Gxr9tZ,0,0,1,2,0,0,0,0,0,0,6
2741,@vesna1027sm,1,1,0,1,0,0,0,0,0,0,0
2743,@ogechin,0,2,0,0,1,0,0,0,0,0,0
2744,@Jurmarketing,0,1,0,0,0,0,0,1,0,0,5
2745,@your_angel_lina,0,1,0,0,0,0,0,0,0,0,0
2746,@Regont2,2,0,0,0,0,0,0,0,0,0,2
2747,@OlgaSergeevna_B,0,1,0,0,0,0,0,0,0,0,0
2748,@Win1oOn,0,1,0,1,0,0,1,0,0,0,0
2749,@ExamGrand,0,1,0,0,0,1,1,0,0,0,0
2750,@aleksandr_p_m,0,1,1,0,1,0,0,0,0,0,0
2752,@AmaraaU,1,2,0,0,0,0,0,0,0,0,0
2753,@expertsouthru,0,1,0,0,0,0,0,0,0,0,0
2754,@mission_rf,1,0,0,0,0,1,0,0,0,0,4
2755,@wembomusic,2,1,0,0,0,0,0,0,0,0,2
2756,@newselfdestruct,1,1,0,0,0,0,0,0,0,0,0
2759,@LidarAsia,0,2,0,1,0,0,0,0,0,0,0
2760,@Angelos_UA,1,0,0,1,0,0,0,0,0,0,6
2762,@Ignatovaaaaaaa,0,0,1,0,0,0,0,1,0,0,5
2763,@KotPhilosoph,0,1,0,0,0,1,0,0,1,0,0
2764,@vanoryykk,0,0,0,1,0,1,0,1,0,0,6
2765,@AnonymActorClub,0,0,2,0,0,0,0,1,0,0,3
2766,@nichegoynehochu,0,1,1,0,1,0,0,0,0,0,0
2767,@moepero,0,1,1,1,0,0,0,0,0,0,0
2768,@Bunny_4_Gerkus,2,1,0,0,0,0,0,0,0,0,2
2769,@heylraduga,0,0,1,0,0,0,0,1,0,0,5
2771,@nezygaru,0,1,0,0,0,0,0,1,1,0,0
2772,@armen_osipyan,1,0,0,0,0,0,0,0,0,0,2
2773,@osokovikov,2,0,0,0,0,0,0,0,0,0,2
2774,@sherllyhomeless,0,1,0,1,0,0,0,0,0,0,6
2775,@BeatriceMel,2,1,0,0,0,0,0,0,0,0,2
2776,@gurov_serge,0,1,0,0,1,0,0,1,0,0,0
2777,@legkostup_v,0,0,1,0,0,1,1,0,0,0,3
2778,@dmitry_starkk,1,0,0,0,0,0,0,0,0,0,2
2779,@koktebel_news,0,3,0,0,0,0,0,0,0,0,0
2780,@wmk3u,0,0,0,0,0,0,0,1,2,0,8
2781,@shanshinyury,0,2,0,0,0,0,0,0,0,0,0
2782,@apartments_kg,0,2,0,1,0,0,0,0,0,0,0
2784,@viol_lav_,1,1,0,1,0,0,0,0,0,0,0
2785,@dsk1ru,1,0,1,1,0,0,0,0,0,0,6
2786,@alla2day,2,0,0,1,0,0,0,0,0,0,2
2787,@e_shuvalova,0,1,0,1,1,0,0,0,0,0,0
2788,@trappyway,0,0,3,0,0,0,0,0,0,0,3
2789,@Maxim_XP,1,1,0,0,0,0,0,0,0,0,0
2790,@mmaremi21,3,0,0,0,0,0,0,0,0,0,2
2791,@arkz997,0,0,0,0,3,0,0,0,0,0,1
2792,@Kita_in_da_haus,0,0,1,1,1,0,0,0,0,0,6
2793,@denis_knyazkin,0,2,0,0,0,1,0,0,0,0,0
2794,@anatolichm,1,0,0,0,0,1,0,0,0,0,4
2795,@HulioMortal,0,0,1,0,0,1,0,1,0,0,3
2796,@nsvoskr,1,0,0,0,0,0,0,0,0,0,2
2797,@Legoshin_d,0,0,3,0,0,0,0,0,0,0,3
2798,@Finparty,0,2,0,0,1,0,0,0,0,0,0
2799,@MyFelixLife,0,0,0,2,0,0,0,1,0,0,6
2801,@hipsta_pliz,3,0,0,0,0,0,0,0,0,0,2
2803,@khe11endros,1,0,0,0,0,0,0,0,0,0,2
2804,@Annet31469063,0,3,0,0,0,0,0,0,0,0,0
2805,@bakycheva85,0,2,0,0,0,0,0,0,0,0,0
2806,@ivanych5gor,0,3,0,0,0,0,0,0,0,0,0
2807,@inosmi,0,2,0,0,0,0,0,0,0,0,0
2808,@Sam79649007,1,1,0,0,0,0,0,0,0,0,0
2809,@limonovdigital,1,0,0,0,0,0,0,0,0,0,2
2811,@KuptsovYuriy,0,0,2,0,0,0,0,0,0,0,3
2812,@zdravkomru,0,2,0,0,0,0,0,0,0,0,0
2813,@DeeMenshikov,0,2,0,1,0,0,0,0,0,0,0
2814,@Blagovel,0,1,0,1,1,0,0,0,0,0,0
2815,@DatsiDatsiev,0,0,0,0,0,0,0,2,1,0,5
2816,@vladboev,0,0,0,0,1,1,0,0,0,1,0
2817,@know_it_al,0,1,0,0,0,0,0,0,0,0,0
2818,@segodnyanews1,0,2,1,0,0,0,0,0,0,0,0
2819,@4114777,0,1,0,0,0,0,0,0,0,0,0
2820,@DgoKer,1,0,0,0,0,0,0,0,0,0,2
2821,@lorealrussia,1,0,0,0,1,1,0,0,0,0,2
2822,@centercoopspb,1,0,1,0,0,0,0,0,0,0,3
2823,@Odysseus777,0,0,0,0,0,0,0,1,2,0,8
2824,@Nadezda_guskova,0,1,0,0,0,0,0,0,0,0,0
2825,@martell_marta,0,0,2,1,0,0,0,0,0,0,3
2826,@Cold_winter_sun,1,1,0,0,0,0,0,0,0,0,0
2827,@13Mercator,0,1,1,0,0,0,0,0,0,0,0
2828,@monuspennmsk,1,1,1,0,0,0,0,0,0,0,0
2829,@advocat_ivanets,0,1,0,0,0,1,0,0,0,0,4
2830,@ludmela58,0,0,0,0,0,0,1,0,0,0,7
2831,@justfresheri,0,1,2,0,0,0,0,0,0,0,3
2832,@_wowka,1,0,2,0,0,0,0,0,0,0,3
2833,@darchaban,2,1,0,0,0,0,0,0,0,0,2
2834,@Baluinkognito,0,1,0,0,1,0,0,0,0,0,0
2835,@krinda4,0,0,0,0,1,1,0,0,0,0,4
2836,@gene_gore,0,0,0,0,0,1,0,0,0,0,4
2837,@DRMBEYDILI,3,0,0,0,0,0,0,0,0,0,2
2838,@kh0rvat,0,0,0,0,2,1,0,0,0,0,1
2839,@aistbel_by,0,0,2,1,0,0,0,0,0,0,3
2840,@mm0227664,0,0,0,1,0,0,0,0,1,1,6
2841,@nastya_russia_,0,2,1,0,0,0,0,0,0,0,0
2842,@kupalniksochi,0,1,1,0,1,0,0,0,0,0,0
2843,@umnitsa_julia,2,0,0,0,0,0,0,1,0,0,2
2844,@Fichee3,0,0,0,0,0,0,1,0,0,0,7
2845,@Helen_Roos,1,0,0,2,0,0,0,0,0,0,6
2846,@derbo31,0,0,0,0,0,0,1,2,0,0,5
2847,@TdLika,0,1,0,0,1,0,1,0,0,0,0
2848,@WeterWetrow,0,1,2,0,0,0,0,0,0,0,3
2849,@architectphd,1,0,0,0,0,0,0,0,0,0,2
2850,@VISITALTAI,2,0,0,0,0,0,0,0,0,0,2
2851,@sentyabroff,1,1,0,0,0,0,0,0,0,0,0
2852,@BOOST2015,0,1,0,0,1,1,0,0,0,0,0
2853,@TajikVoice,0,2,0,0,0,0,0,0,1,0,0
2855,@ghaHgoBTkzRHbcK,2,0,0,0,0,0,0,0,0,0,2
2856,@vinokurowaelen1,0,0,0,0,0,0,2,1,0,0,7
2857,@liyakova,1,0,0,0,0,1,1,0,0,0,2
2858,@NoJokeGirl,0,1,0,0,0,0,0,0,0,0,0
2859,@SadSmileOfHope,2,1,0,0,0,0,0,0,0,0,2
2860,@Iniamkevich,0,0,0,0,1,1,0,0,0,0,4
2861,@zMaxchen,1,0,0,0,0,0,0,0,0,0,2
2862,@AdygShapsug,2,1,0,0,0,0,0,0,0,0,2
2863,@RichardARRRK,0,0,0,0,1,0,0,1,0,1,0
2864,@Remediumru,0,0,1,1,1,0,0,0,0,0,6
2865,@buryatsolder,1,0,0,2,0,0,0,0,0,0,6
2866,@MovieBillboard,0,0,2,1,0,0,0,0,0,0,3
2867,@282lazarov,1,0,0,1,0,0,0,0,0,0,6
2868,@Marishk16635348,0,1,1,0,0,0,1,0,0,0,0
2869,@48_viktorovna,1,1,0,0,0,0,0,0,0,0,0
2870,@L_TRactorist,0,0,0,0,0,3,0,0,0,0,4
2871,@informpskov,3,0,0,0,0,0,0,0,0,0,2
2872,@goaltables_ru,0,0,0,0,0,0,0,1,2,0,8
2873,@Pereehlgruzovik,0,2,1,0,0,0,0,0,0,0,0
2874,@ProektZhit,1,0,0,0,0,0,0,1,1,0,2
2875,@Ulet_travel,2,0,0,0,0,0,0,0,0,0,2
2876,@Vadiml19,2,0,0,0,0,0,1,0,0,0,2
2877,@tipografiyann,0,0,0,0,0,0,0,0,1,2,9
2879,@Zaruddovv,0,3,0,0,0,0,0,0,0,0,0
2880,@peaVucm,0,0,0,0,0,0,0,0,0,3,9
2881,@ArbatReal,0,1,0,0,0,2,0,0,0,0,4
2882,@vicmalov,0,3,0,0,0,0,0,0,0,0,0
2883,@twylchan,0,2,1,0,0,0,0,0,0,0,0
2884,@murport51,0,0,1,1,1,0,0,0,0,0,6
2885,@yulia2504,1,0,0,0,0,0,0,0,0,0,2
2886,@eniYnBHSOTUhZ5V,2,1,0,0,0,0,0,0,0,0,2
2887,@danisk0,0,0,0,0,1,2,0,0,0,0,4
2888,@algared1,0,0,0,2,1,0,0,0,0,0,6
2889,@VAL_and_TINE,1,1,1,0,0,0,0,0,0,0,0
2890,@IonCojocaru001,0,1,2,0,0,0,0,0,0,0,3
2891,@ziyoleg,0,0,1,0,0,2,0,0,0,0,4
2892,@neznayka_is_b,2,0,0,0,0,0,0,0,0,0,2
2893,@fox_vuk,0,0,2,1,0,0,0,0,0,0,3
2894,@Diletant3,0,1,0,0,1,1,0,0,0,0,0
2895,@Bubuzshoes,1,0,1,0,0,0,0,0,0,0,3
2896,@mooovoi,0,0,0,0,2,0,0,0,1,0,1
2897,@HermannRudel,0,0,0,3,0,0,0,0,0,0,6
2898,@RusThekiller,0,2,1,0,0,0,0,0,0,0,0
2899,@MuesliANDbrandy,2,0,1,0,0,0,0,0,0,0,2
2900,@ASenkli,1,1,0,1,0,0,0,0,0,0,0
2901,@Carl37643551,0,3,0,0,0,0,0,0,0,0,0
2902,@massimo_acm,0,1,0,0,1,0,0,0,0,0,0
2903,@LubkaMalysheva,0,0,2,0,0,0,0,0,0,0,3
2904,@srglbkv,0,0,1,0,2,0,0,0,0,0,1
2905,@Yulia225,0,2,1,0,0,0,0,0,0,0,0
2908,@Aninay17,0,0,1,0,1,1,0,0,0,0,3
2909,@ipcherny,0,2,0,0,0,0,0,0,0,0,0
2910,@kokosina2010,0,1,2,0,0,0,0,0,0,0,3
2911,@egemenkz,0,0,0,0,0,0,0,0,1,2,9
2912,@LevShlosberg,0,1,0,1,0,0,0,0,0,0,6
2913,@ArgusRussia,1,1,0,0,0,0,0,0,0,0,0
2914,@ruinnovative,0,1,0,1,0,0,1,0,0,0,0
2915,@_alexa_g_,0,1,0,0,0,0,0,0,0,0,0
2916,@kukukupapaa,0,1,1,0,1,0,0,0,0,0,0
2917,@GalAVlru,1,0,0,0,0,0,0,1,1,0,2
2918,@jxe4hBjE9hQKhJJ,0,1,2,0,0,0,0,0,0,0,3
2919,@VeraYershova,1,1,0,0,0,0,0,0,0,0,0
2920,@kaktustvoirot,0,0,1,1,0,0,0,0,0,0,6
2922,@SDM_Partners,0,0,0,2,1,0,0,0,0,0,6
2923,@golos_iz_it,0,0,3,0,0,0,0,0,0,0,3
2924,@BlueCharlie666,0,0,1,0,0,0,0,0,0,0,3
2925,@PereTrad,1,0,2,0,0,0,0,0,0,0,3
2926,@Mery25646810,2,0,0,0,0,0,0,0,0,0,2
2927,@minikin,1,1,1,0,0,0,0,0,0,0,0
2928,@DArtsov,1,0,0,0,0,0,0,0,0,0,2
2930,@Nikonor90,0,0,0,0,1,0,0,0,0,0,1
2931,@MaRkusSide,0,0,0,0,0,0,0,2,0,0,5
2933,@zamanbeeek,0,0,0,1,0,0,0,0,0,0,6
2934,@SergeyNadzorov,0,0,1,0,2,0,0,0,0,0,1
2935,@prokatmachin,0,0,1,0,0,0,0,0,1,0,8
2936,@InfoDolgoprudny,0,0,2,1,0,0,0,0,0,0,3
2937,@fckitlf666,0,1,0,1,0,0,0,0,0,0,6
2938,@sasha_stadnik,2,0,0,0,0,0,0,0,0,0,2
2939,@Kwatt_10000,0,1,0,0,0,0,0,1,1,0,0
2940,@vlad_lawrence,1,2,0,0,0,0,0,0,0,0,0
2942,@madbadoldman,0,1,1,1,0,0,0,0,0,0,0
2943,@TodayKuzbass,0,0,0,0,0,0,1,1,0,1,0
2944,@ficbookAndSex,0,0,1,0,0,0,0,0,0,0,3
2945,@Pockettteam,2,0,0,0,0,0,0,0,0,0,2
2946,@bu_brekotkina,0,0,0,0,0,0,1,0,0,0,7
2947,@uprMag,2,0,0,0,1,0,0,0,0,0,2
2948,@burunduc,0,2,0,0,0,0,0,1,0,0,0
2949,@ia_frank,0,0,0,0,0,0,3,0,0,0,7
2950,@cosmo_name,2,0,0,0,0,0,0,0,0,0,2
2951,@newsmuz,3,0,0,0,0,0,0,0,0,0,2
2952,@grael_ni,1,0,0,0,0,0,0,0,0,0,2
2953,@bilousan007,1,0,0,0,0,0,0,0,0,0,2
2954,@ellazart,1,0,0,0,0,0,0,0,0,0,2
2955,@nataligebriel97,0,0,0,1,0,1,0,1,0,0,6
2956,@NadeaSaga,0,0,0,0,0,0,0,1,0,2,9
2957,@usianko,0,2,1,0,0,0,0,0,0,0,0
2958,@vsmotorin,2,0,0,1,0,0,0,0,0,0,2
2959,@tzgsho,0,1,0,1,1,0,0,0,0,0,0
2960,@sbagirka1,3,0,0,0,0,0,0,0,0,0,2
2961,@alexs_christian,0,0,0,0,0,0,0,0,3,0,8
2962,@WAYVI_,0,0,0,0,0,1,0,1,0,0,5
2964,@CzarSays,2,0,1,0,0,0,0,0,0,0,2
2965,@BetsliveRu,1,0,1,0,0,0,0,0,0,0,3
2966,@yevagenia,0,0,0,0,1,0,1,1,0,0,0
2968,@c_est_la_vivi,0,2,0,1,0,0,0,0,0,0,0
2969,@Prohorovamsk,0,0,3,0,0,0,0,0,0,0,3
2970,@jogailo,0,0,0,3,0,0,0,0,0,0,6
2971,@birulevv,0,0,0,0,2,1,0,0,0,0,1
2973,@Obozrevatell,0,1,0,0,0,0,0,0,0,0,0
2974,@Konkretnoru,0,0,0,0,0,0,0,0,0,3,9
2975,@Intermind3,0,1,1,0,0,0,0,0,0,1,0
2976,@812op,0,0,0,0,0,0,3,0,0,0,7
2977,@davay_straday,0,1,0,0,0,0,0,0,0,0,0
2978,@redsmoke74,0,3,0,0,0,0,0,0,0,0,0
2980,@BuabinRussia,0,1,2,0,0,0,0,0,0,0,3
2981,@ZdMOst62,1,0,1,1,0,0,0,0,0,0,6
2982,@Evgen2,0,0,0,3,0,0,0,0,0,0,6
2983,@BargieDonska,0,1,0,1,0,0,0,0,0,0,6
2984,@DonAzelio,2,0,0,1,0,0,0,0,0,0,2
2985,@pravoza_info,0,2,0,0,0,0,0,0,0,0,0
2986,@finnichek,0,0,2,1,0,0,0,0,0,0,3
2987,@ForexOsobye,0,1,0,0,0,0,0,0,0,0,0
2988,@suchanothergood,0,1,0,0,1,0,0,0,0,0,0
2989,@prostopeople12,0,1,0,0,0,0,0,0,1,0,8
2991,@batjargaln,1,0,0,0,0,0,0,0,0,0,2
2992,@hr3108,0,2,1,0,0,0,0,0,0,0,0
2994,@MaxOrekhov,0,0,1,2,0,0,0,0,0,0,6
2995,@zajcy_i_gvozdi,0,0,1,0,0,1,0,0,0,1,3
2996,@VictoriaMegera,0,2,0,0,1,0,0,0,0,0,0
2997,@thsoovebley,0,0,0,1,0,0,0,0,0,0,6
2998,@dyadushka_ho,3,0,0,0,0,0,0,0,0,0,2
2999,@AmbRusFrance,0,0,0,0,0,0,0,0,1,1,9
3000,@Smile_You_Die,0,0,0,0,0,0,0,0,0,3,9
3002,@Timofey74589217,2,0,0,0,0,0,0,1,0,0,2
3003,@AisenNikolaev,1,1,0,0,0,0,0,1,0,0,0
3004,@_Depression_ON_,1,1,0,0,0,0,0,0,0,0,0
3005,@snowflower_law,0,0,0,0,0,1,1,0,0,0,7
3006,@Triton_,1,0,0,1,0,0,0,0,0,0,6
3007,@bubble201807,1,0,0,0,0,0,0,0,0,0,2
3008,@pavlushaserg,0,0,0,1,1,1,0,0,0,0,6
3009,@mebelstroy,0,2,0,1,0,0,0,0,0,0,0
3010,@jpoplover987,0,0,3,0,0,0,0,0,0,0,3
3012,@oyanenko,0,0,0,0,0,3,0,0,0,0,4
3013,@ArtemLovesYou,1,0,0,0,0,0,0,0,0,0,2
3014,@krasnaya0pahra,1,2,0,0,0,0,0,0,0,0,0
3015,@alexoff,0,0,0,0,0,0,0,0,1,1,9
3017,@trefucku,0,1,0,0,0,0,0,0,0,0,0
3018,@Kastrik_T0P,0,0,0,0,0,1,0,2,0,0,5
3020,@Soviet_Ivan_,0,0,1,0,2,0,0,0,0,0,1
3021,@bit_energy,0,0,3,0,0,0,0,0,0,0,3
3022,@alyonakorpan,1,1,0,0,0,0,0,0,0,0,0
3025,@24topbet,0,0,2,0,0,0,0,0,0,0,3
3026,@eduplyakin,1,1,0,0,0,0,0,0,0,0,0
3027,@viomiko,0,0,0,1,1,1,0,0,0,0,6
3028,@andreaszv8,0,1,0,1,0,0,0,0,0,0,6
3029,@ARAPhilosopher,2,0,0,1,0,0,0,0,0,0,2
3030,@TyTkakTyT_kTo,0,0,0,0,1,1,0,1,0,0,0
3031,@macnrolla,1,0,0,0,0,0,0,0,0,0,2
3032,@online007tutors,0,1,0,0,0,0,1,1,0,0,0
3033,@alexandrovskoye,0,0,0,0,1,0,0,0,1,0,8
3034,@Cloud4Y,1,1,1,0,0,0,0,0,0,0,0
3035,@Captain_Vova,2,0,0,0,0,0,0,0,0,0,2
3036,@smeyashka,0,1,0,1,0,0,0,0,0,0,6
3037,@EgorKotkin,1,0,0,0,0,2,0,0,0,0,4
3038,@XezmetDany,0,0,0,2,1,0,0,0,0,0,6
3039,@0Av0kad0,0,0,0,1,0,0,0,0,0,0,6
3040,@woogadget,1,0,1,1,0,0,0,0,0,0,6
3041,@DiploMix,3,0,0,0,0,0,0,0,0,0,2
3042,@snegur_youknow,0,1,1,1,0,0,0,0,0,0,0
3044,@MihMak,0,1,0,0,0,0,0,0,0,0,0
3046,@post_par,0,2,0,0,0,0,0,0,0,0,0
3047,@prrussk,0,1,1,0,0,0,0,0,0,0,0
3048,@astrakhan_news,0,0,0,0,0,0,0,0,0,2,9
3049,@Gospodinchampi1,0,0,0,0,2,0,0,0,0,0,1
3050,@kataeva_98,0,2,0,0,0,0,0,0,0,0,0
3051,@SophiaY19,1,1,0,0,0,0,0,0,0,0,0
3052,@georgy_fedorov,0,1,1,0,0,0,0,0,0,0,0
3053,@asfedorenkoas,0,0,0,0,0,0,2,0,0,0,7
3054,@velikii_dmitrii,1,0,0,0,0,0,0,0,0,0,2
3055,@Ketty_Bill,2,0,0,0,0,0,0,0,0,0,2
3056,@JuliaKalashnyk,1,0,0,0,0,1,0,0,0,0,4
3057,@Bscrap5,0,0,2,0,0,0,0,0,0,0,3
3059,@Florik1993,0,0,2,0,0,0,0,0,0,0,3
3060,@dopuskai,0,0,0,0,0,2,0,0,0,0,4
3061,@Yes_view,0,1,0,0,0,0,0,0,0,0,0
3062,@bykovV,0,2,0,0,0,0,0,0,0,0,0
3063,@parsa10111213,0,0,0,0,0,2,0,0,0,0,4
3064,@Johny16287210,0,0,1,0,0,0,0,0,0,0,3
3065,@Vopros20,0,1,0,0,0,0,0,0,0,0,0
3066,@anyaswag_meow,1,0,0,0,0,0,0,0,0,0,2
3067,@bombila_moscow,2,0,0,0,0,0,0,0,0,0,2
3068,@chelodoi_M,0,1,1,0,0,0,0,0,0,0,0
3069,@onlinevmru,0,1,1,0,0,0,0,0,0,0,0
3070,@epic_story77,1,0,1,0,0,0,0,0,0,0,3
3071,@utdfo,0,2,0,0,0,0,0,0,0,0,0
3073,@DannikInfo,0,1,0,0,0,0,0,0,0,0,0
3074,@knyazevinvest,0,0,0,0,1,0,0,0,0,0,1
3075,@otkazniki_ru,0,1,1,0,0,0,0,0,0,0,0
3076,@yarkovalexey9,1,0,0,0,0,1,0,0,0,0,4
3077,@21xx30,0,2,0,0,0,0,0,0,0,0,0
3078,@DonetskPatriot,0,0,0,0,0,1,0,0,0,0,4
3080,@purgenetik,0,2,0,0,0,0,0,0,0,0,0
3081,@AlexGolubev12,0,0,0,0,0,0,1,0,0,1,9
3083,@TretiiGangster,0,1,0,1,0,0,0,0,0,0,6
3084,@Jurikan11,0,1,0,0,0,0,0,0,0,0,0
3086,@gmichailov,0,0,0,1,0,1,0,0,0,0,4
3088,@by_pmagency,0,0,0,0,0,0,0,2,0,0,5
3089,@rPOrBIfGy7xycTx,0,0,2,0,0,0,0,0,0,0,3
3090,@quantainer,0,0,0,0,0,2,0,0,0,0,4
3091,@bibip45139919,0,1,0,0,0,1,0,0,0,0,4
3092,@7KCIcU0at3qnBVw,0,2,0,0,0,0,0,0,0,0,0
3093,@A_dull_student,0,2,0,0,0,0,0,0,0,0,0
3094,@EvVaReza,0,0,0,1,1,0,0,0,0,0,6
3095,@Dammirof,1,1,0,0,0,0,0,0,0,0,0
3096,@relsirelsi,1,0,0,0,0,0,0,0,0,0,2
3097,@yuriygorban,0,1,0,0,0,0,0,0,1,0,8
3098,@gakim5754,0,0,1,0,0,0,0,0,0,0,3
3099,@schaslivay,1,1,0,0,0,0,0,0,0,0,0
3102,@fMHfCrO905N4DFx,0,0,2,0,0,0,0,0,0,0,3
3103,@timeofrussia,0,0,0,0,0,0,0,1,1,0,8
3105,@hlpsrv,0,0,1,0,0,0,0,0,0,0,3
3106,@__immortal___,0,0,0,1,0,0,0,0,0,0,6
3107,@tiana8811,0,1,0,0,0,0,0,0,0,1,9
3108,@rajdianos,0,0,0,1,0,0,0,1,0,0,5
3109,@kottoblog,1,0,1,0,0,0,0,0,0,0,3
3110,@vooprussia,0,2,0,0,0,0,0,0,0,0,0
3111,@avs_voyage,0,0,0,0,1,0,0,0,0,0,1
3112,@0vlnf7yXWSTa3Z7,0,0,0,1,1,0,0,0,0,0,6
3113,@_LuLuLand_,0,0,0,1,1,0,0,0,0,0,6
3114,@DenisBocharov0o,0,0,0,2,0,0,0,0,0,0,6
3115,@milovich97,1,0,0,0,0,0,0,0,0,0,2
3117,@AnastAlexeeva,0,0,0,0,0,0,0,0,1,1,9
3118,@Vova_Kuchkovski,0,0,1,0,0,0,0,0,0,0,3
3119,@UpravdomSamara,0,0,0,0,2,0,0,0,0,0,1
3120,@noshin111,0,1,0,0,0,0,0,1,0,0,5
3121,@roof_talks,1,0,0,0,0,0,0,0,0,0,2
3122,@IgorZyden,1,0,1,0,0,0,0,0,0,0,3
3123,@XezmetBaltasi,0,2,0,0,0,0,0,0,0,0,0
3124,@_aleksandrina_1,0,0,0,0,1,1,0,0,0,0,4
3126,@dantadv,0,0,1,0,0,0,0,0,0,0,3
3127,@melq_nab,1,0,1,0,0,0,0,0,0,0,3
3129,@vlatrif,0,2,0,0,0,0,0,0,0,0,0
3130,@alimov_kamil,1,0,0,0,0,0,0,0,0,0,2
3131,@stlat2,0,2,0,0,0,0,0,0,0,0,0
3132,@Trahtibidohter,1,1,0,0,0,0,0,0,0,0,0
3133,@LiniyaJizni,0,0,0,1,0,1,0,0,0,0,4
3134,@John07Franko,0,0,0,1,0,0,0,1,0,0,5
3136,@Sweetfutureog1,0,0,1,1,0,0,0,0,0,0,6
3137,@SerWolk1,0,0,1,0,0,0,0,0,0,0,3
3139,@flight_thought,0,0,1,1,0,0,0,0,0,0,6
3140,@xotkubstutuapse,1,0,0,0,0,0,0,0,0,0,2
3141,@gorbunovb2b,2,0,0,0,0,0,0,0,0,0,2
3142,@SunSh2012,0,0,1,0,0,0,0,1,0,0,5
3143,@nt_krv,1,1,0,0,0,0,0,0,0,0,0
3144,@ssskkkkddd,0,0,0,0,0,1,0,1,0,0,5
3145,@uran_alien,0,2,0,0,0,0,0,0,0,0,0
3146,@alegenkav,0,1,0,1,0,0,0,0,0,0,6
3150,@OfficiallPutin,0,0,0,1,0,0,1,0,0,0,7
3152,@RussianGigant,0,0,0,1,0,0,0,0,0,0,6
3153,@zvezdanews,0,1,0,0,0,0,0,0,0,0,0
3154,@polina_lesnaya,0,1,0,0,0,0,0,0,0,0,0
3155,@_karitza_,2,0,0,0,0,0,0,0,0,0,2
3156,@gatilov12071991,0,0,0,0,0,1,0,0,0,0,4
3157,@kentyntai,0,1,0,0,0,0,0,0,0,0,0
3158,@IMydrau,1,1,0,0,0,0,0,0,0,0,0
3159,@FT___Pearl,1,1,0,0,0,0,0,0,0,0,0
3161,@vsmitoday,0,0,0,0,0,2,0,0,0,0,4
3163,@saratovcsm,0,0,1,1,0,0,0,0,0,0,6
3164,@Varezhka5,0,0,0,2,0,0,0,0,0,0,6
3165,@gollandiacom,0,0,0,0,0,0,0,1,1,0,8
3166,@magiqan,0,0,0,0,0,1,1,0,0,0,7
3168,@akterpnd,0,0,0,0,0,0,0,1,0,0,5
3169,@gorodstar,1,1,0,0,0,0,0,0,0,0,0
3170,@3UvRT0P51KrLwe5,0,1,0,0,0,0,0,0,1,0,8
3173,@infoselru,1,0,0,0,0,0,0,0,0,0,2
3174,@_InContact,0,2,0,0,0,0,0,0,0,0,0
3175,@TheWoeFromWit,0,0,0,0,1,0,0,0,0,0,1
3176,@Perflexer,2,0,0,0,0,0,0,0,0,0,2
3177,@ShkeDoctor,0,0,0,0,0,0,0,0,1,1,9
3178,@morozdan2003,0,1,0,0,0,0,0,0,0,0,0
3179,@DinoDArk6,1,0,0,0,0,0,0,0,0,0,2
3180,@mosoblpozhspas,1,0,0,1,0,0,0,0,0,0,6
3181,@pravdarule,0,0,0,0,0,1,0,1,0,0,5
3182,@Maxdisk,0,0,1,0,0,0,0,0,0,0,3
3183,@red_aurora2000,0,0,1,1,0,0,0,0,0,0,6
3184,@in_schelkovo,0,0,1,0,0,0,0,0,0,0,3
3185,@whatsgoin_on,0,2,0,0,0,0,0,0,0,0,0
3187,@kasiana777,0,0,0,1,0,0,0,0,0,0,6
3188,@mihacooper,0,1,0,0,0,0,0,0,0,0,0
3189,@kuklinskiy,0,0,0,0,0,0,0,1,1,0,8
3190,@a_galimbeksson,0,0,0,1,0,0,0,0,0,0,6
3191,@dNm7aEMUG0lgbWT,0,0,2,0,0,0,0,0,0,0,3
3192,@RusCG_Barcelona,0,0,0,2,0,0,0,0,0,0,6
3193,@FyodorShumilov,0,1,0,0,0,0,0,0,0,1,9
3194,@kitoru_taya,0,0,0,2,0,0,0,0,0,0,6
3195,@FsJcUepZbsXRryt,0,0,2,0,0,0,0,0,0,0,3
3196,@strrange_dream,0,2,0,0,0,0,0,0,0,0,0
