,names,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,cluster_vals
98,@linuxesrf,5,5,7,8,6,7,5,9,9,9,0
99,@Pirvolainen,15,17,5,10,2,3,2,0,0,0,0
100,@zinews,9,13,6,6,5,3,1,4,4,0,0
101,@VDegunino,4,14,1,0,0,5,11,9,12,16,0
102,@udmurtmedia,4,12,18,5,10,5,6,7,2,3,0
103,@AlexanderASavin,12,10,4,4,5,0,0,0,0,1,0
104,@bakiruulu,0,2,21,4,1,12,26,4,0,0,0
105,@StavKP,12,24,3,7,16,2,0,3,0,0,0
106,@euromaidannn,22,0,6,12,11,2,0,2,0,0,2
107,@vitali_linevski,12,20,0,0,0,0,0,0,0,0,0
108,@Starhit_online,8,5,7,5,8,11,7,5,3,2,0
109,@ravmos,5,2,5,7,4,1,6,3,3,3,0
110,@mixtan9,0,13,7,15,7,2,0,0,0,0,0
111,@onanovosti,1,1,8,6,0,17,15,11,4,0,0
112,@yakubenko_m,8,10,1,4,6,0,4,7,7,5,0
113,@Scientific_Rus,10,15,3,15,5,4,2,2,1,1,0
114,@thezebratv,13,31,13,0,0,0,0,0,0,0,0
115,@Denys_k1,32,16,7,5,0,2,0,0,0,0,2
116,@MsElenaNovikova,4,0,1,0,0,0,0,0,0,0,2
117,@favens_sp,7,11,12,13,4,6,2,0,0,2,0
118,@CoronavirusUKR,54,3,0,0,0,0,0,0,0,0,2
119,@_veld_,1,1,2,0,0,0,0,0,1,1,0
120,@Ilya_Valiev,9,8,12,5,3,8,5,3,6,1,0
121,@Lezard_Ekb,0,0,7,13,9,6,8,6,5,4,0
122,@UKRagainstCOVID,4,13,16,13,12,0,0,0,0,0,0
123,@AsuraSerg,3,8,3,4,0,0,2,1,0,0,0
124,@bentavener_ru,15,8,10,4,3,2,0,0,0,0,0
125,@_LayneFox,0,8,12,7,19,6,5,0,0,0,0
126,@viamidgard_info,0,1,13,11,4,4,6,9,4,4,0
127,@dguryanov,6,8,3,8,2,9,11,7,0,1,0
128,@RuPol555,6,8,2,11,17,4,0,0,2,1,0
129,@pro_zdor,1,3,7,10,12,10,2,6,4,0,0
130,@Idel_Realii,3,5,5,7,7,7,5,5,6,5,0
131,@2tP6lkxzzIJzpJc,3,10,4,7,6,6,5,4,2,4,0
132,@aksenov_sv,6,10,4,6,7,5,4,5,5,2,0
133,@rnbee_ru,0,15,11,10,13,5,0,0,0,0,0
134,@BrackenVa,0,10,10,6,5,8,5,2,7,0,0
135,@radugaonline19,1,1,7,20,3,5,5,3,3,3,6
136,@zt_almet,5,19,16,11,1,0,1,0,0,0,0
137,@Napoleon_6,17,18,0,0,0,2,2,5,4,3,0
138,@NewsEventsTurin,8,13,8,4,0,3,4,2,0,3,0
139,@futurerfnews,5,2,0,0,0,8,17,7,9,4,0
140,@etofinlandia,9,10,3,3,4,0,4,2,0,1,0
141,@VulkanSport,0,9,17,10,9,6,0,0,0,0,0
142,@aobroskov,3,0,0,0,0,0,0,0,0,0,2
143,@2019nCo54520519,5,2,0,2,3,1,1,0,0,0,2
144,@anepedia,3,6,10,13,6,2,0,0,0,0,6
145,@An_Nalgin,8,3,7,7,5,3,1,2,4,2,0
146,@IsraelinRussia,11,14,3,4,7,1,1,1,1,2,0
147,@VitGot,14,6,0,0,0,0,0,0,0,0,2
148,@vseomoskve,4,5,7,7,5,2,3,2,5,6,0
149,@gazetabiznes,0,1,0,0,0,4,4,13,11,15,0
150,@tmbrn_oit,0,10,19,6,4,9,0,0,0,0,0
151,@tvnecro,9,6,2,4,2,0,0,0,0,0,0
152,@GolosAmeriki,7,6,3,6,8,2,2,3,2,3,0
153,@press_smolobl,5,6,11,6,8,2,2,4,1,0,0
154,@1kjIKd7Iwgt6RNl,20,5,0,0,0,0,0,0,1,0,2
155,@MikhailOsherov,8,6,5,8,2,2,0,0,0,0,0
156,@Avesta_TJ,6,15,16,0,0,0,0,0,1,6,0
157,@impulsaru,0,3,7,8,11,6,3,2,4,0,0
158,@eurasiaunion_ru,0,1,7,18,0,2,0,6,0,8,6
159,@K1Fxfr2xm6HIjKh,8,1,0,0,0,12,5,7,7,4,0
160,@grad_new,11,1,0,0,0,3,4,10,8,7,2
161,@AlexanderRedki3,20,0,0,0,0,0,12,4,5,3,2
162,@AS_Russia007,5,11,2,10,7,4,2,1,0,0,0
163,@znamya_gazeta,0,2,1,12,14,2,3,7,3,0,0
164,@o_berezovskaya,0,0,3,8,1,6,7,3,8,8,0
165,@AnnaModerna,0,0,0,19,19,5,0,0,0,0,6
166,@puteshestvyiru1,4,7,0,5,5,5,0,4,1,3,0
167,@politua_su,14,6,0,0,0,0,8,4,6,5,2
168,@infryazino,9,2,0,0,0,1,5,5,12,8,0
169,@BelnovostiBy,0,2,1,4,6,6,5,4,7,4,0
170,@1WfwycEPIDnC7C9,0,5,12,6,11,8,0,0,0,0,0
171,@iaserg,1,3,8,6,4,5,4,3,1,1,0
172,@kazved,5,9,0,6,0,0,2,1,4,1,0
173,@tvcplus,4,1,6,16,8,1,0,4,1,0,6
174,@DAKaygorodov,4,5,4,5,3,3,1,8,4,1,0
175,@evgurova,3,3,3,7,12,5,2,1,0,2,0
176,@kniga59,3,0,3,4,8,10,2,4,3,3,0
177,@limanpravda,19,15,0,0,0,0,0,0,1,0,2
178,@rybnoe,3,8,7,5,8,3,0,0,3,2,0
179,@courier_media,8,3,0,0,0,3,3,5,12,6,0
180,@drugoros,2,12,8,5,6,6,0,0,0,0,0
181,@VremyaNePokazet,2,5,5,6,5,3,2,4,4,3,0
182,@VladyslavMazur,9,1,0,0,0,0,1,0,0,0,2
183,@jarilo2,2,5,1,3,2,4,2,2,4,1,0
184,@ruwest_news,2,10,2,1,0,10,3,4,1,0,0
185,@likatime592,6,7,9,6,2,0,0,0,0,0,0
186,@finnishpress,4,5,6,8,6,2,1,0,1,3,0
187,@avtoschool,5,8,4,3,10,1,0,1,3,2,0
188,@chanvalera0,4,9,1,1,0,0,4,2,0,2,0
189,@MagadumEkb,0,6,9,2,1,5,4,1,3,2,0
190,@b_obraz_yur,11,4,3,4,1,4,1,0,2,2,2
191,@PagelookRu,0,9,13,7,3,0,0,1,1,3,0
192,@ashlapova88,2,18,2,7,4,1,1,1,0,0,0
193,@partiya_dela,0,2,7,6,10,11,0,0,0,0,0
194,@Vicing2003,0,0,0,0,0,0,10,20,5,1,5
195,@newkc14,8,2,0,0,0,10,6,7,1,1,0
196,@crimeatodaynow,11,2,0,0,0,3,2,3,5,9,2
197,@webial,5,20,1,1,0,0,0,0,0,0,0
198,@inzvenigorod,4,2,6,7,0,5,2,4,5,0,0
199,@vitalsemenenko,5,11,9,4,0,3,0,0,0,2,0
200,@russianhome,3,0,2,0,0,0,0,3,0,0,2
201,@wKDXdlY8NRgFTP0,17,6,2,0,0,0,1,1,5,2,2
202,@Interfax_tour,6,10,6,2,0,0,0,0,0,0,0
