,names,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,cluster_11,cluster_12,id
384,hei_ho,1,4,4,1,0,0,0,0,0,1,2,1,54885
385,go_rogue,1,2,3,1,2,0,0,0,2,0,2,1,19992
386,rurik1,0,0,0,0,0,0,3,3,1,4,2,11,36316
387,neznakomka_18,0,2,2,1,2,1,2,1,0,0,2,1,12089
388,friend,3,0,0,3,0,1,4,0,0,0,2,1,74871
389,fluffyduck2,0,2,0,4,4,1,0,0,0,0,2,1,11823
390,monalt,0,0,2,2,0,4,0,1,2,0,2,1,82258
391,sell_off,3,0,2,1,1,1,0,2,1,0,2,1,37359
392,1rond_uzao,2,3,1,1,3,0,1,0,0,0,2,1,98569
393,lubnarkom,0,0,0,0,0,3,1,2,1,4,2,1,16976
394,dnevnu4ok,5,3,0,1,0,0,0,0,0,2,2,1,77240
395,marimakarychev,2,1,0,1,0,0,1,2,2,2,2,11,98892
396,fesalexander,0,0,2,6,2,1,0,0,0,0,2,1,37566
397,dobro_elatel,5,2,1,1,1,1,0,0,0,0,2,1,57433
398,nerm_ykt,0,0,0,1,5,3,1,1,0,0,1,5,65676
399,wladimir_gribow,3,2,1,3,1,0,0,1,0,0,2,1,68281
400,djespo,0,0,0,3,1,3,1,2,1,0,2,1,75873
401,fedor_nn,1,0,1,2,1,0,1,3,0,2,2,1,62726
402,bdsmn,1,1,2,3,2,2,0,0,0,0,2,1,93325
403,sgrisha04,1,2,3,1,2,1,0,1,0,0,2,1,29565
404,autozhlob,3,5,1,0,0,2,0,0,0,0,2,1,54618
405,andertrace,2,1,1,1,0,0,1,0,2,3,2,11,89479
406,ioann_uzhas,0,0,0,0,0,5,3,3,0,0,2,1,18542
407,indifound,1,5,1,3,0,0,0,0,1,0,2,1,15482
408,ukraine_live_lj,0,1,1,2,2,3,2,0,0,0,2,1,26373
409,takotoj,0,0,0,0,2,2,1,3,1,2,2,1,73865
410,nadportem,2,3,1,1,0,0,0,3,0,1,2,1,44757
411,greentown2020,7,0,0,0,4,0,0,0,0,0,7,7,89662
412,earlyhawk,0,0,0,0,3,4,1,0,2,0,2,1,78564
413,ta_mro,1,0,0,2,0,0,1,2,2,2,2,11,12132
414,hippopotam_beg,0,0,0,3,1,2,0,1,2,1,2,1,59262
415,metodika_rki,0,0,5,0,0,0,0,5,0,0,3,6,31977
416,scinquisitor,1,1,0,2,4,1,0,0,0,1,2,1,22773
417,andreykrot,1,9,0,0,0,0,0,0,0,0,8,3,64650
418,stilett_1,0,0,4,2,0,0,0,2,0,2,2,1,77027
419,zona_riska,0,0,0,4,4,2,0,0,0,0,2,1,51643
420,moryakukrainy,0,3,1,0,2,2,0,1,0,1,2,1,38741
421,wiz_aut,0,0,0,1,1,1,3,3,1,0,2,1,87286
422,gruzd22,4,2,1,0,1,1,1,0,0,0,2,1,69851
423,irinazvyagina,0,1,0,0,0,5,0,0,0,4,2,1,58979
424,mike_ermakov,2,1,1,0,0,1,5,0,0,0,6,2,96254
425,filin_dimitry,3,0,1,2,0,0,0,1,2,1,2,1,19178
426,cts3402,3,6,0,0,0,1,0,0,0,0,8,3,67703
427,haron2010,0,0,1,4,1,1,1,1,0,1,2,1,86938
428,dm_jurevch_67,0,0,0,2,3,2,1,0,2,0,2,1,79859
429,senkinamama,0,1,2,1,2,2,1,1,0,0,2,1,51745
430,domozhiroff,2,0,2,2,1,0,0,0,3,0,2,11,71655
431,klarissa45,1,3,1,0,1,1,1,1,1,0,2,1,91705
432,dorys,2,3,1,0,3,1,0,0,0,0,2,1,57702
433,kirill_potapov,6,2,1,0,0,0,0,0,0,1,7,7,22506
434,gidverona,4,4,2,0,0,0,0,0,0,0,2,1,52285
435,verkudski,0,2,0,2,1,1,2,0,1,1,2,1,64547
436,tour_life,0,2,2,2,2,0,1,0,0,1,2,1,94485
437,nesvidomij,0,0,0,0,8,1,0,1,0,0,1,5,97447
438,jurobzor,0,2,2,2,1,0,2,0,0,1,2,1,44491
439,yaroslav_gunin,0,0,0,0,2,3,3,0,2,0,2,1,76852
440,gerraa,2,2,0,2,0,2,0,2,0,0,2,1,45861
441,diman_novik_ru,0,1,1,0,2,2,0,2,1,1,2,1,63320
442,one_1_3,5,4,0,1,0,0,0,0,0,0,2,1,63903
443,evgeniykoval,1,1,2,2,0,1,2,0,1,0,2,1,35333
444,fedorova_tl,2,2,0,1,0,1,1,2,1,0,2,1,29610
445,centuria1972,0,0,0,2,2,0,0,2,1,2,2,1,69005
446,andreygolybev,0,1,0,3,1,3,1,0,0,0,2,1,49429
447,antisemit_ru,1,1,3,1,1,0,0,0,2,0,2,1,70785
448,mr_espozito,3,0,0,2,1,1,2,0,0,0,2,1,13864
449,nastia74,3,1,1,0,0,0,0,2,1,1,2,1,77631
450,nehoroshy,3,0,1,1,0,0,2,0,0,2,2,1,16505
451,andrejobedkov,2,2,3,1,1,0,0,0,0,0,2,1,35203
452,georgy_fedorov,0,1,0,4,2,0,0,1,1,0,2,1,42447
453,roman_golovin1,3,3,1,1,0,0,0,0,0,1,2,1,82340
454,marussia0601,4,2,2,1,0,0,0,0,0,0,2,1,56947
455,masha_bast,2,3,2,0,0,0,0,1,1,0,2,1,25572
456,pereklichka,1,2,1,2,1,1,1,0,0,0,2,1,80568
457,narodreporter,1,3,1,3,0,0,1,0,0,0,2,1,77997
458,leonid_vlad,0,2,1,0,0,3,0,0,1,2,2,1,21526
459,sb_skvortsov,0,1,3,0,1,1,2,1,0,0,2,1,51171
460,zarabbo,1,2,3,2,0,1,0,0,0,0,2,1,96094
461,wariwona,0,3,3,0,2,0,1,0,0,0,2,1,17557
462,seoforyou,0,4,2,1,1,0,0,0,1,0,2,1,66609
463,linskaja,0,0,0,0,0,0,3,0,0,6,9,4,66502
464,sasha_sim1953,2,4,0,3,0,0,0,0,0,0,2,1,21670
465,mvdiary,2,3,0,0,1,1,2,0,0,0,2,1,24253
466,9oodw1n,0,0,3,1,2,0,2,0,1,0,2,1,23446
467,arisot,0,0,0,0,0,0,3,5,1,0,3,6,20598
468,varya_davydova,0,3,1,0,2,1,0,1,0,1,2,1,74311
469,stalist,2,1,1,1,1,1,0,1,0,1,2,1,61788
470,akozmin_7,2,3,1,0,1,2,0,0,0,0,2,1,77471
471,israil_95reg,0,0,2,1,3,2,0,0,1,0,2,1,76739
472,logograd,0,0,0,0,0,2,4,1,2,0,6,2,49627
473,lezhnev_sergey,1,3,3,1,0,1,0,0,0,0,2,1,54149
474,zhezhertva,2,1,2,1,1,1,0,0,1,0,2,1,87105
475,annakolba,0,0,0,0,0,0,0,0,9,0,4,10,25298
476,v_i_k_a_25_68,0,0,1,4,2,1,0,1,0,0,2,1,88355
477,jim_garrison,0,1,0,5,1,1,0,0,0,1,0,8,90005
478,trump_donald,1,4,1,0,0,0,0,2,0,1,2,1,50982
479,russlink_church,0,2,0,1,0,0,2,0,3,1,2,11,72846
480,revelation1916,0,0,3,0,0,0,3,0,3,0,2,11,59016
481,stasrus2009,1,2,2,0,2,1,0,1,0,0,2,1,20210
482,parus28,0,0,0,0,0,0,2,2,2,3,2,11,46296
483,vadro,2,1,6,0,0,0,0,0,0,0,10,0,88149
484,imir_rude,0,2,0,2,1,2,0,1,1,0,2,1,73646
485,basilepupking,0,1,0,0,1,1,2,1,1,2,2,1,61838
486,yasnyi_krasnyi,2,3,0,0,1,0,1,0,1,0,2,1,78748
487,valentina_ak,2,2,0,2,0,0,1,0,1,0,2,1,97197
488,andres_barchuk,0,0,7,1,0,0,0,0,0,0,10,0,83373
489,rusal1997,0,1,2,3,0,2,0,0,0,0,2,1,44332
490,abiturient_plus,1,1,1,1,1,0,1,0,0,2,2,1,86168
491,indigolotos,0,5,0,0,0,0,0,2,1,0,8,3,14881
492,rivka381,5,2,0,0,1,0,0,0,0,0,7,7,66614
493,li_isa,0,1,1,5,0,0,1,0,0,0,0,8,37317
494,uncle_doc,2,2,1,1,1,0,0,0,1,0,2,1,16458
495,evgenii_consul,0,0,4,4,0,0,0,0,0,0,2,1,49140
496,kozlovekb9,2,0,0,3,1,0,1,0,0,1,2,1,42060
497,pashaodessa,2,2,1,1,0,0,0,0,2,0,2,1,83988
498,dmitriykop,0,0,0,0,0,0,0,2,4,2,4,11,68214
499,oleg_canada,0,3,0,1,3,0,1,0,0,0,2,1,15185
500,miggerrtis,0,1,3,3,1,0,0,0,0,0,2,1,59802
501,prokir,1,3,2,0,0,1,1,0,0,0,2,1,58019
502,sanchos_f,0,2,1,1,1,0,0,3,0,0,2,1,99027
503,zmey2,1,3,0,0,0,1,1,1,1,0,2,1,51599
504,arttasalov,0,3,0,0,2,1,1,1,0,0,2,1,46361
505,yarowind,0,4,2,2,0,0,0,0,0,0,2,1,63473
506,igorolin,1,3,1,1,0,0,1,0,1,0,2,1,61396
507,margot_yyc,3,1,1,1,0,1,0,0,1,0,2,1,98994
508,littlehirosima,1,1,0,2,1,2,0,0,0,1,2,1,14274
509,a_leslie,0,0,0,0,2,1,5,0,0,0,6,2,82497
510,t_34_111,3,0,1,1,1,1,1,0,0,0,2,1,90219
511,stasyal,0,2,1,1,3,1,0,0,0,0,2,1,45331
512,ivga_5,1,0,1,3,1,1,1,0,0,0,2,1,37133
513,muha_volk,3,3,0,1,0,1,0,0,0,0,2,1,55455
514,mashadream_89,0,1,1,1,0,1,1,1,1,1,2,1,87693
515,puerrtto,0,0,0,3,0,0,3,0,0,2,2,1,47288
516,ivan_sibiryak,2,0,2,2,0,0,0,1,0,1,2,1,73075
517,babairu,0,0,3,1,0,0,2,2,0,0,2,1,88572
518,vasilina00,1,3,0,1,0,1,1,1,0,0,2,1,13768
519,jurangel,2,2,4,0,0,0,0,0,0,0,2,1,71342
520,santippe,0,0,2,1,0,0,2,1,1,1,2,1,29741
521,vidalru,0,0,2,2,0,3,1,0,0,0,2,1,80681
522,dimaxwosir,0,0,0,0,4,4,0,0,0,0,1,5,79997
523,lucia_nucci,1,3,2,0,0,1,0,0,0,1,2,1,50320
524,sockomm,0,0,2,2,1,1,1,1,0,0,2,1,99602
525,la_hiena_roja,1,0,0,3,1,0,1,0,1,0,2,1,93271
526,tyomma,1,3,0,0,0,1,1,1,0,0,2,1,23546
527,cy_beer,1,5,1,0,0,0,0,0,0,0,8,3,79113
528,o_dan_kmc,5,0,0,0,0,0,2,0,0,0,7,7,40993
529,yuriy_shulipa,0,2,2,0,3,0,0,0,0,0,2,1,22520
530,rnmelnikov,0,0,1,2,1,1,1,1,0,0,2,1,37262
531,niusiula,0,0,0,2,1,1,0,0,2,1,2,11,43705
532,yar055,0,0,1,2,4,0,0,0,0,0,1,5,88633
533,markosyan_usik,0,2,1,2,0,0,0,1,1,0,2,1,87812
534,alex_akishin,1,0,2,1,2,0,0,0,0,1,2,1,56039
535,gvadalahara,1,3,0,0,0,1,1,1,0,0,2,1,82323
536,proekt_gaz,2,0,0,3,0,0,1,0,0,1,2,1,63934
537,leo_sosnine,1,3,0,0,0,1,1,1,0,0,2,1,72135
538,web_ekklesiast,0,0,0,0,7,0,0,0,0,0,1,5,41501
539,nikitich,0,0,0,0,0,0,2,5,0,0,3,6,14787
540,kogalym_org,2,3,0,1,1,0,0,0,0,0,2,1,25156
541,uncle_pafnutiy,2,1,2,0,2,0,0,0,0,0,2,1,99654
542,lusia_lusi,2,3,0,0,1,0,0,0,0,1,2,1,17428
543,novikoff_a,0,0,1,1,1,1,1,1,1,0,2,1,80793
544,freja_love,5,0,2,0,0,0,0,0,0,0,7,7,24192
545,kulturuk,0,0,2,3,0,0,0,0,0,1,2,1,33859
546,jjenson,4,0,1,2,0,0,0,0,0,0,7,7,56193
547,hist_kai,1,3,0,0,0,1,1,1,0,0,2,1,41023
548,sharr75,0,2,1,0,0,0,0,2,2,0,2,11,83875
549,everlasting_cat,1,3,0,0,0,1,1,1,0,0,2,1,91054
550,veniamin1,1,0,1,2,1,0,1,1,0,0,2,1,62244
551,buzhor,0,0,4,1,1,0,0,1,0,0,10,0,40681
552,auto_bljgger,0,6,1,0,0,0,0,0,0,0,8,3,79608
553,bagdat,0,1,3,1,1,0,0,0,1,0,2,1,32524
554,bloha_v_svitere,1,2,2,0,1,0,0,0,1,0,2,1,72760
555,oleg_serge_ev,0,0,0,0,0,4,0,2,1,0,5,9,54814
556,holydiver_777,0,1,0,2,0,0,1,0,3,0,4,11,32441
557,mashenka_sench,2,2,1,0,1,0,1,0,0,0,2,1,43461
558,shargunov,1,3,0,0,0,1,1,1,0,0,2,1,34953
559,muna_cynepcmap,0,0,2,0,0,2,3,0,0,0,6,2,30136
560,vostroff,1,3,0,0,0,1,1,1,0,0,2,1,58792
561,ordinaryman35,0,3,0,2,0,1,0,0,1,0,2,1,10559
562,cosmo_expo,0,2,0,0,1,1,0,3,0,0,2,1,94474
563,shweda,0,3,0,0,0,0,1,2,0,1,2,1,15564
564,littleme74,5,0,1,0,0,1,0,0,0,0,7,7,37910
565,kdo_dent,0,0,0,1,1,1,1,2,0,1,2,1,95340
566,fondpr,0,5,1,0,1,0,0,0,0,0,8,3,98378
567,lovelyman111,1,1,1,0,3,0,0,1,0,0,2,1,70401
568,bydloman,0,1,1,1,1,0,0,2,0,1,2,1,23256
569,rigort,0,0,0,5,2,0,0,0,0,0,0,8,89271
570,zakrasotu,2,1,0,3,1,0,0,0,0,0,2,1,10694
571,donttouchnews,0,0,0,0,0,0,0,7,0,0,3,6,91596
572,florinda_doc,0,2,1,2,2,0,0,0,0,0,2,1,90777
573,novospasskiym,0,3,1,1,1,1,0,0,0,0,2,1,76346
574,alhider,0,6,1,0,0,0,0,0,0,0,8,3,63125
575,mirnovostei1,0,0,1,2,3,1,0,0,0,0,2,1,62312
576,luckyed,2,0,4,1,0,0,0,0,0,0,10,0,54395
577,onb2017,3,1,1,0,0,0,1,0,1,0,2,1,88136
578,yurij_burlan,0,0,2,1,1,1,0,1,0,0,2,1,17024
579,papilkin,0,3,1,2,0,0,0,0,0,0,2,1,89561
580,kolaymartyn,0,1,1,1,0,1,0,0,0,2,2,1,99450
581,rrrapunzel,4,2,0,0,0,0,0,0,0,0,7,7,62337
582,hssk,0,1,0,4,1,0,0,0,0,0,0,8,34834
583,vyshemir,2,3,0,0,0,1,0,0,0,0,2,1,63398
584,ig,1,1,2,0,0,1,0,1,0,0,2,1,33065
585,sergofan,0,0,0,2,0,1,0,1,0,2,2,1,32352
586,beautifulhelios,0,2,2,1,0,1,0,0,0,0,2,1,94321
587,sergushenkov,0,0,0,0,0,0,1,2,3,0,4,11,66440
588,ivanishev_86,2,0,2,0,1,0,1,0,0,0,2,1,60553
589,edgarua,1,1,2,0,1,0,1,0,0,0,2,1,74498
590,poruchik_sr,1,1,1,1,0,1,1,0,0,0,2,1,30931
591,sladkowa,0,0,2,2,1,0,0,0,1,0,2,1,94371
592,shairman,0,0,3,1,2,0,0,0,0,0,2,1,48992
593,nadkin_muzh,0,0,1,2,3,0,0,0,0,0,1,5,20589
594,doktornic,2,2,0,1,0,1,0,0,0,0,2,1,19276
595,legalagent,2,1,0,1,1,1,0,0,0,0,2,1,71860
596,a_krotov,0,0,0,0,0,1,3,0,0,2,6,2,26804
597,v_stranstviyorg,0,2,2,1,0,0,0,1,0,0,2,1,77155
598,lbond47,0,0,0,1,0,1,1,2,0,1,2,1,87899
599,mcfiresergio,2,1,0,2,1,0,0,0,0,0,2,1,39471
600,denshenderovich,0,0,0,6,0,0,0,0,0,0,0,8,98345
601,xineks,0,1,2,1,1,0,0,0,1,0,2,1,16013
602,gold_lion,1,1,1,0,0,1,0,1,0,1,2,1,57278
603,podosinovets,0,2,1,1,0,1,0,0,0,1,2,1,75587
604,bskam,0,3,0,1,1,0,1,0,0,0,2,1,22226
605,neoforce,1,1,2,1,0,0,1,0,0,0,2,1,54907
606,biboroda,0,0,0,3,1,0,0,0,2,0,2,11,51507
607,allexell,0,0,0,3,1,2,0,0,0,0,2,1,22058
608,marina_klimkova,2,1,0,0,1,1,0,0,1,0,2,1,53627
609,bigfrol,1,2,0,1,2,0,0,0,0,0,2,1,40448
610,vladthesparrow,0,1,0,1,2,2,0,0,0,0,2,1,84657
611,burgbul,1,1,3,0,0,0,0,0,1,0,2,1,90958
612,corvetten_cap56,1,0,0,4,0,0,0,1,0,0,0,8,37989
613,egornebo,0,0,1,3,0,1,0,0,1,0,2,1,46162
614,prof1000,3,1,0,1,1,0,0,0,0,0,2,1,84999
615,svetka_u,0,1,0,1,1,1,0,1,1,0,2,1,52889
616,ivanovd,1,3,0,0,0,1,0,0,1,0,2,1,16665
617,logicwolf,0,4,0,0,2,0,0,0,0,0,8,3,73002
618,taransv,2,1,2,0,1,0,0,0,0,0,2,1,27189
619,naritsyna,0,6,0,0,0,0,0,0,0,0,8,3,88981
620,ptiza_elli,1,0,5,0,0,0,0,0,0,0,10,0,61120
621,neuromir_tv,2,2,1,1,0,0,0,0,0,0,2,1,18991
622,vai31,2,1,1,0,1,1,0,0,0,0,2,1,69030
623,anriasem,1,0,2,1,1,0,0,0,0,1,2,1,44916
624,velvik45,0,1,0,1,1,0,2,0,1,0,2,1,76616
625,th3,0,0,0,1,2,1,0,0,1,1,2,1,56911
626,zlobny_les,0,1,1,0,1,2,0,0,0,1,2,1,91875
627,pushba,0,1,2,1,0,2,0,0,0,0,2,1,60418
628,sokolov9686,0,0,0,0,0,0,0,0,4,2,4,11,83924
629,riadmar,1,2,2,0,0,0,0,0,1,0,2,1,34725
630,notabene1579,0,3,1,1,0,1,0,0,0,0,2,1,98385
631,krasnyi82,0,0,0,1,0,0,0,2,3,0,4,11,68063
632,vsegda_tvoj,0,0,0,5,0,1,0,0,0,0,0,8,82037
633,junonskyi21,6,0,0,0,0,0,0,0,0,0,7,7,46216
634,maectpo,0,1,1,4,0,0,0,0,0,0,0,8,48051
635,salatau,1,1,0,1,3,0,0,0,0,0,1,5,18856
636,novikovski,0,0,1,4,0,0,0,0,0,1,0,8,64418
637,joe_alex,1,1,0,1,1,1,0,1,0,0,2,1,52914
638,mikhailosherov,1,1,3,1,0,0,0,0,0,0,2,1,18901
639,lorien22,1,1,2,1,0,0,0,0,0,0,2,1,84050
640,ivankravtsov,0,0,0,0,2,1,0,1,0,1,2,1,98685
641,pchistyakov,0,2,2,1,0,0,0,0,0,0,2,1,15436
642,falkovskiy_vv,0,0,0,2,1,2,0,0,0,0,2,1,41054
643,official_gratse,2,0,0,1,2,0,0,0,0,0,2,1,94793
644,zedra,0,0,0,1,2,0,1,0,1,0,2,1,82877
645,luvida,2,0,0,0,0,1,0,1,0,1,2,1,33768
646,energa,1,0,1,0,1,1,0,0,1,0,2,1,87069
647,granny1999,0,0,0,0,0,0,0,2,3,0,4,11,91930
648,mayor_pupkin,0,0,4,0,1,0,0,0,0,0,10,0,80880
649,krambambyly,0,0,3,1,0,0,0,0,1,0,10,0,31388
650,art_afrodiziak,0,0,0,0,0,0,0,0,2,3,9,11,70827
651,o_rasstroistvo,0,0,0,0,0,0,0,1,2,2,4,11,15892
652,sandrsnip,0,4,1,0,0,0,0,0,0,0,8,3,55344
653,russfairytales,0,0,0,0,0,0,4,1,0,0,6,2,34008
654,maritana,0,0,0,0,2,1,0,2,0,0,2,1,94031
655,vika_ignatova,5,0,0,0,0,0,0,0,0,0,7,7,19240
656,eva_ego,0,1,2,1,0,0,0,0,0,1,2,1,32199
657,intsident,0,1,2,1,1,0,0,0,0,0,2,1,40881
658,chpru24,1,2,1,1,0,0,0,0,0,0,2,1,20488
659,mon_montblanc,0,0,1,0,1,1,0,0,1,1,2,1,38115
660,guryshkina,1,1,0,0,0,0,1,1,1,0,2,11,12240
661,livej78,2,1,2,0,0,0,0,0,0,0,2,1,97151
662,aglayanenagley,1,2,0,0,0,0,0,1,0,1,2,1,57003
663,shlahcic,1,2,1,1,0,0,0,0,0,0,2,1,81466
664,tarasovtalk,1,1,2,0,1,0,0,0,0,0,2,1,18975
665,kapitan_urus,0,0,0,2,0,2,0,0,1,0,2,1,93102
666,paro_ridere,0,2,1,2,0,0,0,0,0,0,2,1,50226
667,sothis2012,1,1,1,0,0,1,0,0,1,0,2,1,47209
668,lana_prini,1,0,0,1,1,0,0,0,1,1,2,1,86526
669,dennism,0,1,2,0,0,0,0,0,2,0,2,11,69060
670,Violetta Advanced,0,0,0,0,0,5,0,0,0,0,5,9,73755
671,nukakzetak,0,0,2,3,0,0,0,0,0,0,0,8,61425
672,olgajuly,0,0,2,0,2,0,1,0,0,0,2,1,73403
673,river_ems,1,1,0,1,0,0,1,1,0,0,2,1,71409
674,bestseller21,4,1,0,0,0,0,0,0,0,0,7,7,95617
675,arkagol,2,2,0,0,0,0,0,1,0,0,2,1,66676
676,dissomnia,1,2,1,0,1,0,0,0,0,0,2,1,66711
677,maxstrelkov,0,2,2,0,1,0,0,0,0,0,2,1,12552
678,varana,2,1,0,0,0,0,1,1,0,0,2,1,16585
679,ded_kotey,0,0,1,1,0,0,2,0,1,0,2,1,39079
680,newsroyal_ru,3,2,0,0,0,0,0,0,0,0,7,7,71185
681,iriki,0,0,0,0,3,0,1,1,0,0,1,5,89272
682,dmitriyraevskiy,1,0,1,1,0,0,1,0,1,0,2,1,16329
683,nikdavidyuk,0,0,0,0,0,4,1,0,0,0,5,9,46345
684,matveev_lemke,0,0,1,2,1,0,0,1,0,0,2,1,52559
685,gbrfljh,1,0,0,0,1,0,1,2,0,0,2,1,37765
686,elvira_007,0,2,0,1,1,0,0,1,0,0,2,1,16355
687,a_pravdorubov,0,0,0,5,0,0,0,0,0,0,0,8,82418
688,starina_mike,0,2,2,1,0,0,0,0,0,0,2,1,82626
689,tanyamarch,1,3,1,0,0,0,0,0,0,0,8,3,35405
690,nickol1975,0,1,1,1,1,1,0,0,0,0,2,1,21075
691,headinsider,2,2,0,0,1,0,0,0,0,0,2,1,54535
692,maria_vlasova,0,0,2,0,1,0,0,1,0,1,2,1,79644
693,istpatval1986,0,3,0,0,0,2,0,0,0,0,8,3,21702
694,julia_warrior,0,2,0,0,1,0,1,0,1,0,2,1,51135
695,helimen,1,4,0,0,0,0,0,0,0,0,8,3,11552
696,as_romanoff,0,1,1,1,1,0,0,1,0,0,2,1,90530
697,zurkeshe,1,0,1,1,0,0,1,0,1,0,2,1,24780
698,tambovsky_ag,0,0,0,0,0,0,4,0,0,1,6,2,68207
699,dmitriyguliev,0,0,0,0,2,0,2,1,0,0,2,1,16592
700,wolf_gray,0,0,0,0,2,2,0,0,1,0,2,1,82228
701,koreanst,2,0,0,0,0,1,1,0,1,0,2,1,75623
702,bes_korablya,0,2,3,0,0,0,0,0,0,0,10,0,93482
703,ira_muravei,0,0,1,0,1,2,0,0,1,0,2,1,59027
704,fmantv,0,0,0,0,0,1,2,0,0,2,2,1,78311
705,rimmavologdina,1,1,0,0,0,2,0,1,0,0,2,1,55810
706,uaerussian,0,0,0,0,0,0,0,0,0,3,9,4,13018
707,holo_system,1,3,1,0,0,0,0,0,0,0,8,3,30594
708,bulat_blog,0,0,2,1,1,0,0,1,0,0,2,1,11808
709,pffyodor,0,0,1,2,2,0,0,0,0,0,2,1,78515
710,zheniavasilievv,1,0,3,0,1,0,0,0,0,0,10,0,21691
711,bipedall,3,2,0,0,0,0,0,0,0,0,7,7,26042
712,krivohigin_p,1,1,2,1,0,0,0,0,0,0,2,1,39069
713,kchvilyov,0,0,0,0,0,1,0,3,0,1,3,6,82420
714,science_power,2,0,1,0,2,0,0,0,0,0,2,1,46416
715,swayn,0,0,3,0,0,0,0,0,0,2,10,0,30761
716,alex_new_york,0,0,0,1,0,0,1,1,1,1,2,11,57132
717,astotysyachniy,1,0,0,2,1,0,0,0,0,1,2,1,75621
718,be_ba_bu,1,1,0,1,0,0,0,1,1,0,2,1,12723
719,national_int,0,1,1,2,0,0,0,1,0,0,2,1,71642
720,maks08maks,0,3,0,0,0,1,0,1,0,0,8,3,15454
721,glebwiktorow,0,1,3,1,0,0,0,0,0,0,10,0,64452
722,serega_h,0,0,0,0,0,5,0,0,0,0,5,9,25559
723,zaloginen,2,2,1,0,0,0,0,0,0,0,2,1,72342
724,taete,3,1,0,0,0,1,0,0,0,0,7,7,49020
725,snaf_omsk,0,2,2,1,0,0,0,0,0,0,2,1,88347
726,polyakovn,0,0,0,0,0,2,2,1,0,0,2,1,51267
727,vernerelen,0,4,1,0,0,0,0,0,0,0,8,3,24552
728,realurix,0,0,2,1,1,0,0,1,0,0,2,1,60348
729,andrey_o_hitec,1,1,3,0,0,0,0,0,0,0,10,0,86811
730,ffedd_ya,0,0,1,1,3,0,0,0,0,0,1,5,46019
731,antonsssr,0,1,2,0,0,1,1,0,0,0,2,1,20064
732,elena_nefyodova,0,0,0,1,3,0,1,0,0,0,1,5,62340
733,romdorn,2,1,1,0,0,0,0,1,0,0,2,1,21653
734,michloyman,0,0,0,0,1,0,2,0,1,1,2,11,92919
735,mamaradeona,1,0,1,2,0,0,1,0,0,0,2,1,63682
736,ezforyou,0,4,1,0,0,0,0,0,0,0,8,3,58069
737,unlimmobile,0,1,0,1,2,1,0,0,0,0,2,1,98906
738,olegpchelov,0,0,0,0,0,2,2,1,0,0,2,1,30005
739,avraam321,0,0,4,1,0,0,0,0,0,0,10,0,24596
740,yakushef,2,0,0,1,1,0,0,1,0,0,2,1,23549
741,lexx1205,2,0,0,2,0,0,0,0,0,1,2,1,54215
742,egeniusr1,1,0,0,2,0,0,0,1,0,0,2,1,75118
743,agava_green,3,0,1,0,0,0,0,0,0,0,7,7,18532
744,ritanikolaeva,2,1,1,0,0,0,0,0,0,0,2,1,65455
745,leftbot,2,0,0,1,1,0,0,0,0,0,2,1,49283
746,sertolovoonline,1,3,0,0,0,0,0,0,0,0,8,3,53573
747,andrej_ab,0,1,0,1,0,0,0,1,0,1,2,1,56165
748,ocu1ar,1,1,0,1,0,0,0,0,0,1,2,1,67690
749,major_owl,0,2,0,0,0,0,1,0,0,1,2,1,98210
750,ermakorel,0,1,1,0,1,1,0,0,0,0,2,1,14191
751,frekennn,0,0,0,0,0,4,0,0,0,0,5,9,23185
752,stalker_sid,2,1,1,0,0,0,0,0,0,0,2,1,31109
753,exdividuum,1,0,1,0,0,2,0,0,0,0,2,1,73016
754,ulianov24,1,1,0,1,1,0,0,0,0,0,2,1,67159
755,m_kalashnikov,2,0,0,0,0,0,0,2,0,0,3,6,57510
756,gordeev_deputat,1,1,1,0,1,0,0,0,0,0,2,1,74314
757,lycoperdon,1,0,2,0,0,1,0,0,0,0,2,1,25709
758,yarostislavru,0,0,3,1,0,0,0,0,0,0,10,0,82063
759,golospravdycom,0,1,0,3,0,0,0,0,0,0,0,8,99758
760,borzocska,1,3,0,0,0,0,0,0,0,0,8,3,28777
761,russlink_art,1,0,1,0,0,0,0,2,0,0,3,6,93408
762,dr_bykov,1,2,1,0,0,0,0,0,0,0,2,1,95017
763,wolf_kitses,0,0,3,0,0,0,0,1,0,0,10,0,14358
764,nimbus87,0,0,0,0,1,1,2,0,0,0,6,2,74911
765,pharmax495,0,0,0,0,0,0,0,0,3,1,4,10,61659
766,prachkovskiy,1,0,1,0,0,0,1,1,0,0,2,1,11900
767,sterlegrad,1,0,0,1,1,0,1,0,0,0,2,1,53174
768,doctor_tresh,0,1,0,0,0,1,1,0,1,0,2,11,31103
769,sayohatlar_sari,0,0,0,0,0,2,2,0,0,0,6,2,75377
770,ant_63,0,2,0,0,0,2,0,0,0,0,2,1,46044
771,sexmotor,0,2,0,1,1,0,0,0,0,0,2,1,66816
772,belliy_veter,1,0,0,1,0,1,0,0,0,1,2,1,82988
773,aa_shevch,2,1,0,0,0,0,0,0,1,0,2,1,40223
774,torobomba,1,0,0,0,0,1,1,0,0,1,2,1,65707
775,marksman_ru,1,1,1,0,1,0,0,0,0,0,2,1,42852
