,names,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,cluster_11,cluster_12,id
89,radiovos,4,5,5,7,5,5,6,5,6,5,2,1,14300
90,mishakir,3,6,5,5,3,6,6,6,7,6,2,1,46208
91,trurost,4,7,4,8,15,6,5,3,0,2,2,1,88647
92,dralexandra,5,11,6,8,5,4,5,4,1,4,2,1,91516
93,lev_shlosberg,8,8,5,4,7,8,1,5,2,4,2,1,37846
94,ap0caiypse,5,9,10,5,2,4,10,6,0,1,2,1,23358
95,ieromonahambros,7,5,4,1,4,9,8,2,7,4,2,1,59351
96,jaguarcatcat,9,12,5,6,3,3,3,2,4,3,2,1,75029
97,mevlevi,6,2,3,2,3,8,2,10,6,8,2,1,95958
98,masterok,0,0,3,6,7,9,7,7,4,6,2,1,65970
99,eduard_456,4,8,7,3,4,7,7,6,1,2,2,1,79512
100,antifashistcom,0,3,8,3,5,8,7,1,7,7,2,1,58625
101,mihailgurevitch,6,8,6,5,5,3,3,5,4,4,2,1,96505
102,777grigory,3,6,8,5,7,3,6,5,4,1,2,1,31812
103,aizen_tt,0,0,6,10,10,12,4,1,2,3,2,1,37867
104,yuzvak_max,4,4,2,6,2,8,4,8,2,8,2,1,92747
105,ptitz,0,4,3,5,5,5,5,7,5,8,2,1,45886
106,igparis,9,8,7,6,3,4,4,2,3,0,2,1,97194
107,victorvideo,2,13,9,4,2,7,2,5,0,1,2,1,90567
108,kotleopold77,14,10,18,3,1,0,0,0,0,0,2,1,77655
109,a11oleg,0,5,2,5,7,5,10,4,4,3,2,1,24215
110,mylnikovdm,0,2,5,13,3,11,6,2,2,0,2,1,36214
111,pantv,0,2,6,4,7,2,5,8,5,4,2,1,92050
112,opd_voshod,5,9,5,6,4,6,1,3,1,3,2,1,84174
113,snik_snikov,2,3,6,3,4,3,7,4,3,6,2,1,35576
114,gmpnews,0,0,0,18,12,6,6,0,0,0,2,1,52932
115,neuezeiten,8,8,4,4,9,3,2,1,0,2,2,1,15887
116,kremlin_pu,9,7,1,7,11,3,2,0,1,0,2,1,51796
117,rf24,5,5,4,3,3,3,2,5,4,7,2,1,78294
118,dimagrib,2,8,10,13,6,0,2,0,0,0,2,1,87878
119,albercul,0,0,1,14,7,7,5,3,3,1,2,1,57393
120,aqua_parus,16,7,3,2,1,5,1,2,1,2,2,1,75995
121,man_with_dogs,8,7,2,5,1,4,3,4,4,2,2,1,69509
122,bmpd,4,8,9,5,3,3,4,1,2,1,2,1,25260
123,rue_frochot,2,1,4,7,11,3,3,1,3,5,2,1,61744
124,fixin,1,11,5,5,3,2,3,3,6,1,2,1,81379
125,lognews,8,22,6,2,2,0,0,0,0,0,2,1,71186
126,sedov_05,1,1,14,7,1,2,1,4,6,2,2,1,45122
127,nemihail,2,6,4,6,6,3,5,3,2,2,2,1,14487
128,videoelektronic,0,7,0,11,3,5,6,1,2,4,2,1,83546
129,ruriktochkase,8,10,4,8,3,5,1,0,0,0,2,1,80424
130,makaryshka,6,6,7,1,1,2,4,6,4,1,2,1,90820
131,opervzakone,1,8,7,3,10,1,4,2,1,0,2,1,44745
132,saling,2,5,12,5,1,2,4,2,3,2,2,1,41679
133,albert_nik,4,7,5,3,3,4,3,4,2,2,2,1,50792
134,mikhail_doliev,5,5,5,6,5,3,3,3,2,0,2,1,60096
135,mariya_mani,0,4,3,3,4,5,6,4,3,5,2,1,71061
136,shoehanger,4,7,6,3,4,4,6,2,0,1,2,1,15545
137,voxpop_66,8,12,7,1,4,1,2,1,0,1,2,1,78252
138,artemov_maxim,7,0,15,9,5,1,0,0,0,0,2,1,52169
139,kaushka,5,5,3,4,2,5,4,2,3,4,2,1,34376
140,mokej,4,15,9,8,0,0,0,0,0,0,2,1,72316
141,zanzebir,0,3,5,1,17,4,1,0,1,4,1,5,66045
142,sergeykorovkin,1,3,4,6,2,3,5,4,2,4,2,1,88444
143,kamaz,5,1,4,2,4,6,2,6,2,1,2,1,43595
144,flor_sv,3,11,6,8,3,2,0,0,0,0,2,1,76887
145,wg_lj,3,6,2,6,3,3,7,3,0,0,2,1,38013
146,korrektura_mak,0,0,18,0,0,0,15,0,0,0,6,2,79003
147,avderin,3,4,6,4,4,3,3,2,3,1,2,1,72312
148,mr_vang,2,3,5,8,6,6,1,0,0,2,2,1,50574
149,zsbooka,1,8,6,2,4,4,6,2,0,0,2,1,74011
150,timeskhan,1,3,5,3,3,1,2,5,4,5,2,1,51518
151,procol_harum,3,5,5,1,3,3,4,1,4,3,2,1,39223
152,turbolunokhod,4,6,7,4,2,3,1,2,1,2,2,1,39120
153,an_babushkin,0,2,7,9,0,4,4,1,4,0,2,1,23516
154,yurasumy,4,6,4,4,2,4,2,0,3,2,2,1,32247
155,a_nikolov,2,3,8,12,2,0,0,1,2,1,2,1,60290
156,legarhan,0,3,1,7,3,1,5,4,1,6,2,1,81055
157,vladi31_mir,9,8,4,1,4,0,0,1,4,0,2,1,83742
158,laitman,2,2,4,2,3,0,6,3,4,5,2,1,45766
159,yuriy_vagin,0,0,2,6,5,4,4,1,5,4,2,1,83344
160,charsov,8,2,1,8,5,1,2,0,2,1,2,1,19472
161,oldgoro,0,0,0,10,0,0,0,5,14,1,4,11,67848
162,isla_de_mujeres,3,4,5,4,1,4,2,3,2,2,2,1,52325
163,nick_krechetov,1,2,7,1,1,6,4,4,1,3,2,1,48906
